applicant_id,name,email,phone,nationality,age,employment_status,years_employed,monthly_income,monthly_expenses,family_size,dependents,housing_type,total_assets,total_liabilities,net_worth,credit_score,label
fb0d80ea-64de-4774-b84f-acf0f4117045,Eric Fitzpatrick,janicebennett@example.com,001-600-200-7323x8512,Emirati,32,employed,2,11898.61,5061.98,1,1,owned,122445.93,41861.38,80584.54999999999,404,DECLINE
77eca7c4-73f9-40e3-b1ae-d6cd74c6001a,Alexandra Wells,wilsonbrandy@example.com,+1-509-919-3849x86417,Expat,39,employed,5,11592.24,11673.92,4,0,family,350662.49,125855.95,224806.53999999998,759,DECLINE
16973528-e8c8-4895-8c19-a0662381ddd6,Alyssa Whitney,smithdavid@example.com,482.224.1959x3599,Expat,20,part_time,19,1645.94,1774.32,3,2,owned,381747.06,30663.08,351083.98,689,DECLINE
97a45483-2e33-4e4b-b754-1ced01190a85,Mitchell Sims,collinsamanda@example.net,733-398-2977x264,Expat,23,self_employed,7,11731.16,5345.23,2,2,rented,189267.19,165612.19,23655.0,670,DECLINE
b383a1b9-5cb0-4622-8a54-cb551b56ad46,Mr. Joseph Oconnor MD,iwashington@example.org,(529)442-0073,Expat,62,unemployed,0,570.19,323.64,2,1,family,226705.15,250233.13,-23527.98000000001,466,APPROVE
20f76a83-2f43-4c15-bddb-050742b5088b,Tammy Spencer,jmoore@example.com,(265)320-5629x86436,Emirati,20,employed,1,9409.68,10108.65,3,2,rented,122405.46,138678.06,-16272.599999999991,576,DECLINE
af88a00d-1c8c-4071-9bef-b47db4eea69e,Cindy Foley,kimberlyday@example.org,+1-283-255-9389,Expat,27,part_time,20,1803.22,1292.02,7,7,rented,105491.42,282872.91,-177381.49,622,APPROVE
1af42c3c-fd0e-4f91-867b-e79c45fda6b6,Brenda Wright,lisa55@example.org,+1-792-658-1208x68231,Expat,23,part_time,4,1739.88,1001.23,3,2,government,280684.07,78822.48,201861.59000000003,738,DECLINE
b5139828-52e4-43a0-abce-c218abd097c9,Rhonda Mckee,tyler81@example.org,+1-442-580-2447x615,Expat,53,employed,14,4834.1,4238.11,2,1,government,79991.0,204144.36,-124153.35999999999,365,DECLINE
b360c60c-a626-4389-9124-b62b5b2cd884,Christina Marsh,richard73@example.org,(857)991-8552,Emirati,64,employed,14,11180.52,8360.93,2,1,owned,268485.17,80047.56,188437.61,648,DECLINE
a97b514f-3283-4420-ad0d-6ac4cae482fb,David Nunez,mpeterson@example.net,854-734-1340x03990,Emirati,56,part_time,5,2523.05,1763.94,3,1,rented,53205.41,187590.06,-134384.65,819,APPROVE
